NT12364 NT12364_367.gff.gz
NT12365 NT12365_368.gff.gz
NT12367 NT12367_370.gff.gz
NT12370 NT12370_371.gff.gz
NT12372 NT12372_372.gff.gz
NT12378 NT12378_769.gff.gz
NT12382 NT12382_374.gff.gz
NT12384 NT12384_770.gff.gz
NT12387 NT12387_771.gff.gz
NT12388 NT12388_376.gff.gz
NT12389 NT12389_772.gff.gz
NT12390 NT12390_377.gff.gz
NT12391 NT12391_773.gff.gz
NT12392 NT12392_378.gff.gz
NT12393 NT12393_774.gff.gz
NT12394 NT12394_379.gff.gz
NT12396 NT12396_380.gff.gz
NT12398 NT12398_775.gff.gz
NT12400 NT12400_381.gff.gz
NT12404 NT12404_383.gff.gz
NT12406 NT12406_384.gff.gz
NT12407 NT12407_776.gff.gz
NT12412 NT12412_386.gff.gz
NT12413 NT12413_387.gff.gz
NT12414 NT12414_388.gff.gz
NT12418 NT12418_389.gff.gz
NT12420 NT12420_390.gff.gz
NT12421 NT12421_391.gff.gz
NT12422 NT12422_392.gff.gz
NT12423 NT12423_393.gff.gz
NT12424 NT12424_394.gff.gz
NT12425 NT12425_395.gff.gz
NT12426 NT12426_777.gff.gz
NT12427 NT12427_396.gff.gz
NT12429 NT12429_397.gff.gz
NT12432 NT12432_398.gff.gz
NT12435 NT12435_399.gff.gz
NT12440 NT12440_401.gff.gz
NT12442 NT12442_402.gff.gz
NT12447 NT12447_15.gff.gz
NT12448 NT12448_16.gff.gz
NT12450 NT12450_34.gff.gz
NT12451 NT12451_76.gff.gz
NT12452 NT12452_77.gff.gz
NT12453 NT12453_78.gff.gz
NT12454 NT12454_79.gff.gz
NT12457 NT12457_191.gff.gz
NT12458 NT12458_192.gff.gz
NT12459 NT12459_193.gff.gz
NT12460 NT12460_195.gff.gz
NT12463 NT12463_71.gff.gz
NT12464 NT12464_81.gff.gz
NT12465 NT12465_119.gff.gz
NT12466 NT12466_182.gff.gz
NT12467 NT12467_130.gff.gz
NT12468 NT12468_156.gff.gz
NT12469 NT12469_9.gff.gz
NT12470 NT12470_165.gff.gz
NT12471 NT12471_125.gff.gz
NT12472 NT12472_196.gff.gz
NT12473 NT12473_67.gff.gz
NT12474 NT12474_124.gff.gz
NT12475 NT12475_211.gff.gz
NT12476 NT12476_161.gff.gz
NT12477 NT12477_72.gff.gz
NT12478 NT12478_28.gff.gz
NT12479 NT12479_82.gff.gz
NT12480 NT12480_120.gff.gz
NT12481 NT12481_183.gff.gz
NT12482 NT12482_157.gff.gz
NT12483 NT12483_166.gff.gz
NT12484 NT12484_126.gff.gz
NT12485 NT12485_197.gff.gz
NT12486 NT12486_23.gff.gz
NT12487 NT12487_68.gff.gz
NT12488 NT12488_212.gff.gz
NT12489 NT12489_162.gff.gz
NT12490 NT12490_73.gff.gz
NT12491 NT12491_83.gff.gz
NT12492 NT12492_116.gff.gz
NT12493 NT12493_121.gff.gz
NT12494 NT12494_184.gff.gz
NT12495 NT12495_158.gff.gz
NT12496 NT12496_167.gff.gz
NT12497 NT12497_127.gff.gz
NT12498 NT12498_8.gff.gz
NT12499 NT12499_198.gff.gz
NT12500 NT12500_24.gff.gz
NT12501 NT12501_69.gff.gz
NT12502 NT12502_163.gff.gz
NT12503 NT12503_74.gff.gz
NT12504 NT12504_29.gff.gz
NT12505 NT12505_84.gff.gz
NT12506 NT12506_201.gff.gz
NT12507 NT12507_117.gff.gz
NT12508 NT12508_66.gff.gz
NT12509 NT12509_122.gff.gz
NT12510 NT12510_185.gff.gz
NT12511 NT12511_155.gff.gz
NT12512 NT12512_159.gff.gz
NT12513 NT12513_754.gff.gz
NT12514 NT12514_168.gff.gz
NT12515 NT12515_128.gff.gz
NT12516 NT12516_199.gff.gz
NT12517 NT12517_25.gff.gz
NT12518 NT12518_70.gff.gz
NT12519 NT12519_164.gff.gz
NT12520 NT12520_75.gff.gz
NT12521 NT12521_85.gff.gz
NT12522 NT12522_118.gff.gz
NT12523 NT12523_123.gff.gz
NT12524 NT12524_186.gff.gz
NT12525 NT12525_131.gff.gz
NT12526 NT12526_160.gff.gz
NT12527 NT12527_169.gff.gz
NT12528 NT12528_129.gff.gz
NT12529 NT12529_200.gff.gz
NT12530 NT12530_26.gff.gz
NT12531 NT12531_172.gff.gz
NT12532 NT12532_179.gff.gz
NT12533 NT12533_5.gff.gz
NT12534 NT12534_659.gff.gz
NT12535 NT12535_660.gff.gz
NT12536 NT12536_661.gff.gz
NT12537 NT12537_662.gff.gz
NT12538 NT12538_663.gff.gz
NT12539 NT12539_664.gff.gz
NT12540 NT12540_665.gff.gz
NT12541 NT12541_666.gff.gz
NT12542 NT12542_667.gff.gz
NT12543 NT12543_668.gff.gz
NT12544 NT12544_669.gff.gz
NT12545 NT12545_670.gff.gz
NT12546 NT12546_671.gff.gz
NT12547 NT12547_672.gff.gz
NT12548 NT12548_673.gff.gz
NT12549 NT12549_674.gff.gz
NT12550 NT12550_675.gff.gz
NT12551 NT12551_676.gff.gz
NT12552 NT12552_677.gff.gz
NT12553 NT12553_678.gff.gz
NT12554 NT12554_679.gff.gz
NT12555 NT12555_680.gff.gz
NT12556 NT12556_681.gff.gz
NT12557 NT12557_682.gff.gz
NT12558 NT12558_683.gff.gz
NT12559 NT12559_684.gff.gz
NT12560 NT12560_685.gff.gz
NT12561 NT12561_686.gff.gz
NT12562 NT12562_687.gff.gz
NT12563 NT12563_688.gff.gz
NT12564 NT12564_689.gff.gz
NT12565 NT12565_690.gff.gz
NT12566 NT12566_691.gff.gz
NT12567 NT12567_692.gff.gz
NT12568 NT12568_693.gff.gz
NT12569 NT12569_694.gff.gz
NT12570 NT12570_695.gff.gz
NT12571 NT12571_696.gff.gz
NT12572 NT12572_697.gff.gz
NT12573 NT12573_698.gff.gz
NT12574 NT12574_699.gff.gz
NT12575 NT12575_700.gff.gz
NT12576 NT12576_701.gff.gz
NT12577 NT12577_702.gff.gz
NT12578 NT12578_703.gff.gz
NT12579 NT12579_704.gff.gz
NT12580 NT12580_705.gff.gz
NT12581 NT12581_706.gff.gz
NT12582 NT12582_707.gff.gz
NT12583 NT12583_708.gff.gz
NT12584 NT12584_709.gff.gz
NT12585 NT12585_710.gff.gz
NT12586 NT12586_711.gff.gz
NT12587 NT12587_712.gff.gz
NT12588 NT12588_713.gff.gz
NT12589 NT12589_714.gff.gz
NT12590 NT12590_715.gff.gz
NT12591 NT12591_716.gff.gz
NT12592 NT12592_717.gff.gz
NT12593 NT12593_718.gff.gz
NT12594 NT12594_719.gff.gz
NT12595 NT12595_720.gff.gz
NT12596 NT12596_721.gff.gz
NT12597 NT12597_722.gff.gz
NT12598 NT12598_723.gff.gz
NT12599 NT12599_724.gff.gz
NT12600 NT12600_725.gff.gz
NT12601 NT12601_726.gff.gz
NT12602 NT12602_727.gff.gz
NT12603 NT12603_728.gff.gz
NT12604 NT12604_729.gff.gz
NT12605 NT12605_730.gff.gz
NT12606 NT12606_731.gff.gz
NT12607 NT12607_732.gff.gz
NT12608 NT12608_733.gff.gz
NT12609 NT12609_734.gff.gz
NT12610 NT12610_735.gff.gz
NT12611 NT12611_736.gff.gz
NT12612 NT12612_737.gff.gz
NT12614 NT12614_739.gff.gz
NT12615 NT12615_740.gff.gz
NT12616 NT12616_171.gff.gz
NT12617 NT12617_147.gff.gz
NT12618 NT12618_181.gff.gz
NT12619 NT12619_170.gff.gz
NT12620 NT12620_481.gff.gz
NT12621 NT12621_611.gff.gz
NT12622 NT12622_505.gff.gz
NT12623 NT12623_580.gff.gz
NT12624 NT12624_490.gff.gz
NT12625 NT12625_578.gff.gz
NT12626 NT12626_573.gff.gz
NT12627 NT12627_564.gff.gz
NT12628 NT12628_411.gff.gz
NT12629 NT12629_529.gff.gz
NT12630 NT12630_409.gff.gz
NT12631 NT12631_603.gff.gz
NT12632 NT12632_460.gff.gz
NT12633 NT12633_501.gff.gz
NT12634 NT12634_605.gff.gz
NT12635 NT12635_617.gff.gz
NT12636 NT12636_509.gff.gz
NT12637 NT12637_627.gff.gz
NT12638 NT12638_595.gff.gz
NT12639 NT12639_629.gff.gz
NT12640 NT12640_616.gff.gz
NT12641 NT12641_562.gff.gz
NT12642 NT12642_566.gff.gz
NT12643 NT12643_443.gff.gz
NT12645 NT12645_520.gff.gz
NT12646 NT12646_638.gff.gz
NT12647 NT12647_584.gff.gz
NT12648 NT12648_610.gff.gz
NT12649 NT12649_598.gff.gz
NT12650 NT12650_500.gff.gz
NT12651 NT12651_543.gff.gz
NT12653 NT12653_488.gff.gz
NT12654 NT12654_559.gff.gz
NT12655 NT12655_579.gff.gz
NT12656 NT12656_405.gff.gz
NT12657 NT12657_466.gff.gz
NT12658 NT12658_480.gff.gz
NT12659 NT12659_597.gff.gz
NT12660 NT12660_453.gff.gz
NT12661 NT12661_471.gff.gz
